nombre_propietario,cedula,telefono,correo,direccion,placa,id,codigo_interno,fecha_registro,año,kilometraje,cilindraje,marca,combustible,tipo_transmision,traccion,uso,zona,falla_frenos,falla_motor,falla_llantas,falla_direccion,falla_suspension,falla_luces,falla_espejos,resultado
Marcela Fuentes,611920142,3224251662,marcelafuentes283@hotmail.com,"Avenida 98 #85-9, Bucaramanga",RGS909,2473,CDA-46963,2018/08/29,2024.0,0k,2400 cc,Mitsubishi,gas,mecánica,fwd,taxi,Urbano,false,no,0,false,false,no,false,0
Andrés Torres,1089297167,3003541821,andrés-torres483@correo.com,"Calle 5 #91-98, Manizales",HUO608,333,CDA-68540,2020-11-28,2009.0,383528,1500,Fiat,Diesel,manual,4X4,Publico,Urbano,0,0,false,false,no,0,no,1
Andrés Torres,908713699,3162919548,andrés_torres26@hotmail.com,"Circular 34 #6-18, Ibagué",CNX862,1114,CDA-13036,20-01-2024,2003.0,603069,1100cc,Fiat,Diesel,Automática,4x4,Escolar,mixto,no,1,true,false,0,true,si,1
Ana Gómez,898255827,3149769778,ana_gómez20@gmail.com,"Diagonal 60 #84-18, Pasto",ZKU970,2920,CDA-17327,06-12-2022,2015.0,187482,2200 cc,Toyota,gasolina,Automatio,rwd,particular,urbano,1,0,1,no,si,0,false,1
Darío Acosta,10426401,3112488335,darío-acosta867@outlook.com,"Avenida 54 #60-47, Ibagué",QYG102,3068,CDA-20207,2020-08-04,2008.0,402208 km,1600cc,Kia,Gasolina,,4X2,taxi,URBANO,yes,true,no,no,si,,false,1
Patricia Díaz,711470471,3117550024,patricia_díaz602@correo.com,"Transversal 97 #12-84, Villavicencio",VLD468,2407,CDA-51542,01-07-2019,2006.0,274556,3000,Chevrolet,Gas,Automática,4x4,Taxi,URBANO,no,no,0,0,1,false,1,1
Iván Salcedo,841238258,3186356612,iván.salcedo642@yahoo.com,,OEA737,2013,CDA-55046,2019/08/17,1998.0,287040,1600,Volkswagen,GAS,CVT,rwd,público,rural,true,true,false,1,,yes,no,1
Gloria Mendoza,392128366,3248844941,gloria_mendoza542@live.com,,SZN612,2872,CDA-49175,22/08/2018,1999.0,710.9k km,3500,Renault,gasolina,Manual,4x4,taxi,Suburbano,false,si,,0,no,no,no,0
Mauricio Ruiz,1045221271,3013475290,mauricio.ruiz51@yahoo.com,"Carrera 21 #1-84, Villavicencio",REF787,3150,CDA-27360,17-08-2023,2018.0,65790,2000,Volkswagen,Diesel,Manual,4x4,PARTICULAR,Rural,no,0,true,,false,no,false,1
Camilo Rojas,413325183,3202198936,camilo_rojas614@live.com,"Calle 90 #52-31, Bucaramanga",EYN245,1789,CDA-19385,2018-07-13,2020.0,,2000cc,Ford,GSL,manul,RWD,Taxi,Mixto,0,0,no,false,0,1,no,1
Marcela Fuentes,1067853466,3127452974,marcelafuentes540@live.com,"Circular 29 #90-12, Barranquilla",FWJ 411,135,CDA-28264,2019/08/14,2003.0,380190 km,1200,Dodge,Diesel,Tiptronic,4X2,Carga,urbano,no,yes,yes,1,yes,no,false,1
Yolanda Cárdenas,481583954,3112407434,yolanda.cárdenas320@gmail.com,"Calle 30 #59-60, Pasto",SZE122,2961,CDA-50374,2018/06/17,2019.0,94k,2400,Toyota,Diesel,manual,4X4,público,RURAL,0,0,yes,si,no,no,false,1
Camilo Rojas,197990005,3161535573,camilo.rojas788@yahoo.com,"Carrera 35 #63-54, Ibagué",VAL-047,1841,CDA-78278,06/05/2023,2001.0,331.696,1000,Chevrolet,GSL,AUTOMATICA,,particular,RURAL,yes,,no,yes,false,yes,si,1
Ricardo Peña,504753163,3207210914,ricardopeña708@correo.com,"Transversal 65 #40-50, Villavicencio",JVI 400,1136,CDA-71625,2024/06/15,2021.0,96691,1200cc,Peugeot,gasolina,manul,4x2,Taxi,rural,no,false,no,no,true,no,,1
Marcela Fuentes,232722206,3239097940,marcelafuentes186@live.com,"Avenida 79 #4-88, Neiva",ZDX140,53,CDA-98857,19/06/2024,2016.0,159384,2000 cc,Peugeot,gasolina,semiautomatica,FWD,PUBLICO,Mixto,si,true,false,true,no,no,no,1
Sebastián Cruz,61523092,3507860151,sebastiáncruz39@hotmail.com,,DOO702,1243,CDA-88897,2024/08/03,2004.0,4k,1000,Kia,Gasolina,Tiptronic,AWD,Taxi,Suburbano,si,,yes,no,0,true,false,1
Natalia Reyes,492575839,3017359643,natalia-reyes563@gmail.com,"Carrera 57 #40-27, Pereira",FAA775,1511,CDA-48079,05-10-2024,2000.0,236697,2300,Peugeot,DIESEL,autom,fwd,particular,RURAL,no,0,no,true,false,false,false,1
Marcela Fuentes,433317088,3208138057,marcelafuentes586@outlook.com,"Circular 96 #59-74, Ibagué",UUJ-753,1226,CDA-94765,2018-05-25,2010.0,336368,3500 cc,Ford,,mecánica,4x4,carga,Urbano,1,false,0,no,yes,0,no,1
Marcela Fuentes,518416673,3137892714,marcela_fuentes35@gmail.com,"Circular 48 #15-75, Cartagena",CSN872,81,CDA-89963,2023-04-20,2008.0,224.183,2200,Fiat,Gasolina,semiautomatica,awd,PARTICULAR,rural,1,no,si,yes,no,no,false,1
Alejandro Zapata,599358895,3028042167,alejandro_zapata95@live.com,"Carrera 62 #12-36, Pereira",ZIR945,728,CDA-38072,2022/03/04,2023.0,27.606,1100,Peugeot,diesel,MANUAL,RWD,,suburbano,no,no,no,no,0,0,no,0
Natalia Reyes,442849646,3178150662,nataliareyes637@yahoo.com,,VYL-416,808,CDA-45942,2020/06/09,2002.0,471.006 km,1400,Suzuki,GNV,CVT,4x2,escolar,urbano,true,true,no,false,yes,si,no,1
Patricia Díaz,582277752,3217475140,patricia_díaz134@gmail.com,"Avenida 69 #69-59, Cúcuta",RAE-531,1069,CDA-51675,31-03-2018,1997.0,348174,1000,Mitsubishi,eléctrico,manul,4X2,PARTICULAR,Suburbano,,1,0,true,true,no,,1
Lina Santana,479084626,3123535500,lina.santana717@outlook.com,"Calle 39 #75-14, Neiva",VAB444,1007,CDA-56094,2021-04-07,2010.0,443995,4000,Volkswagen,Gas,Automatio,awd,público,URBANO,true,1,false,no,0,true,0,1
Jhon Morales,411286937,3046969772,jhonmorales201@outlook.com,"Avenida 1 #89-92, Cali",YSC895,1211,CDA-51681,2020-08-24,1997.0,253870 km,1600,Nissan,gasolina,mecánica,awd,particular,Urbano,yes,0,yes,true,false,0,no,1
Luis Rodríguez,542670975,3026781023,luisrodríguez668@live.com,"Avenida 37 #15-73, Manizales",BPT924,2785,CDA-62490,08-09-2019,2008.0,341k,1600,Peugeot,nafta,manul,4X4,Publico,Rural,0,false,no,0,false,false,false,1
Viviana Suárez,872104263,3249856567,viviana-suárez509@hotmail.com,"Circular 83 #65-50, Bogotá",FBS148,299,CDA-16487,2021-02-04,2005.0,590k,1800cc,Mazda,Diesel,manul,RWD,Escolar,suburbano,0,yes,no,false,0,true,false,1
Lina Santana,892843250,3501858680,lina-santana379@gmail.com,"Carrera 88 #82-30, Cali",GZK614,3193,CDA-97799,23/03/2022,2023.0,42k,1200,Hyundai,Gas Natural,MANUAL,,Escolar,URBANO,false,no,0,0,0,0,,0
Gustavo Barrera,,3178197139,gustavo.barrera481@hotmail.com,"Circular 46 #25-94, Manizales",KGO447,2601,CDA-73272,2018/07/30,2007.0,185.7k km,1300,Mazda,Gas,tiptronic,AWD,Escolar,Mixto,0,si,,true,false,no,no,1
Jhon Morales,1054013668,3207835525,jhonmorales61@live.com,"Circular 53 #73-50, Bogotá",KHG665,2092,CDA-76237,2023/04/07,2005.0,310690,3050,Volkswagen,eléctrico,automatica,4X4,,RURAL,no,0,false,true,yes,1,false,1
Andrés Torres,572516708,3146345534,andrés-torres721@outlook.com,"Calle 111 #97-82, Villavicencio",FXR464,1443,CDA-52343,18/11/2023,2020.0,105k,1100 cc,Honda,eléctrico,automatica,4X2,Escolar,mixto,true,true,0,no,no,false,false,1
Catalina Ortiz,551974247,3015786050,catalina_ortiz982@correo.com,"Calle 66 #57-23, Pereira",JZG700,1672,CDA-32792,28/05/2021,2005.0,422k,2200,Ford,gasolina,Automatio,4X4,escolar,Suburbano,no,1,true,no,no,no,no,1
Felipe Ramos,1053117912,3145432149,felipe.ramos467@correo.com,"Diagonal 109 #27-79, Montería",UMG-541,1906,CDA-20210,13-10-2022,2007.0,482083,1400,Dodge,GSL,MANUAL,FWD,Escolar,urbano,0,no,true,false,no,false,no,1
María López,904050346,3147315953,maríalópez247@hotmail.com,"Circular 19 #60-8, Cúcuta",KNK230,31,CDA-80206,2020-02-20,2018.0,73k,3500,Mazda,Electrico,Automática,awd,Particular,Mixto,no,false,false,no,no,no,,0
Fabio Arévalo,555465251,3176915269,fabio_arévalo667@correo.com,"Transversal 59 #5-96, Ibagué",FPF499,3117,CDA-68266,2019/09/14,2021.0,70628,1800,Ford,Diesel,semiautomatica,fwd,Escolar,mixto,false,no,no,0,,no,false,1
Héctor Montoya,924504179,3152902200,héctormontoya439@yahoo.com,"Transversal 21 #70-56, Manizales",RRQ799,140,CDA-23606,2018/03/09,2011.0,205.0k km,2000,Hyundai,GNV,Automatio,4X4,escolar,Urbano,0,,si,si,0,false,0,1
Claudia Vargas,944362811,3166312656,claudiavargas97@outlook.com,"Transversal 30 #85-54, Montería",OWU883,2700,CDA-32861,2018/09/11,1995.0,1014k,1600,Honda,Gas,CVT,4X2,público,,0,yes,true,0,true,si,no,1
Sandra Castro,1092003374,3136620001,sandra_castro847@gmail.com,"Circular 88 #19-69, Pasto",OMS 190,845,CDA-65724,2021/04/27,2001.0,603713 km,1550,Ford,DIESEL,Tiptronic,awd,escolar,Urbano,false,no,0,si,false,0,no,0
María López,457514699,3214839889,maría.lópez835@yahoo.com,"Carrera 10 #63-92, Cúcuta",AWN950,1761,CDA-59246,2024/08/31,2007.0,380.457 km,1300,Fiat,gas,Automática,RWD,PARTICULAR,rural,no,0,,,false,no,0,1
Laura García,827026227,3023701578,laura-garcía3@correo.com,"Calle 72 #13-78, Pasto",HJC303,3056,CDA-86285,2018/07/22,2005.0,352.909,1100 cc,Mitsubishi,Gas,manul,rwd,público,suburbano,no,,true,yes,si,0,no,1
Viviana Suárez,947926285,3505526477,viviana.suárez443@correo.com,"Circular 43 #48-82, Cúcuta",ZHZ105,2710,CDA-51018,19/02/2018,1998.0,954.9k km,1400 cc,Renault,Gasolina,Manual,rwd,escolar,Urbano,true,no,yes,si,,false,0,1
Laura García,387457106,3112465277,laura-garcía487@hotmail.com,"Avenida 65 #53-78, Pasto",XNW936,3137,CDA-76237,24/07/2020,2017.0,224k,1500,Honda,,automatica,fwd,Taxi,Mixto,no,1,0,no,true,false,0,1
Gustavo Barrera,224141250,3207205592,gustavobarrera608@hotmail.com,"Circular 15 #56-66, Medellín",TDQ628,2378,CDA-74411,2024/11/21,2007.0,255928,1300cc,Toyota,Gas,Tiptronic,4x2,taxi,RURAL,no,yes,1,yes,1,,no,1
Sebastián Cruz,680091620,3132885246,sebastiáncruz807@outlook.com,"Avenida 57 #92-53, Neiva",VTH364,2969,CDA-46770,2018-06-12,1998.0,176989,1300,Nissan,GSL,tiptronic,FWD,Particular,Mixto,yes,0,yes,true,,0,yes,1
Mauricio Ruiz,916725516,3167088724,mauricio_ruiz556@correo.com,"Avenida 1 #82-42, Cúcuta",XHX 586,2409,CDA-57398,2020/04/20,2022.0,62k,1800,Toyota,Electrico,Automatio,4x4,Escolar,rural,,no,no,no,no,true,no,0
Xiomara Pacheco,412317568,3193356313,xiomara-pacheco176@correo.com,"Calle 33 #57-58, Cúcuta",MBG309,1874,CDA-89239,18/02/2019,1998.0,802k,1800,Suzuki,eléctrico,Mecanica,RWD,carga,urbano,si,false,no,,no,no,false,1
Roberto Nieto,1051857656,3138797634,roberto_nieto73@gmail.com,"Calle 101 #19-73, Ibagué",VSE-809,3070,CDA-32360,26/03/2019,2004.0,603908,1500,Dodge,Gasolina,Automatio,FWD,Escolar,Suburbano,no,yes,no,no,,false,true,1
Omar Leal,533427395,3133059740,omar.leal617@gmail.com,"Transversal 57 #90-78, Cali",WAY851,1566,CDA-44139,28-02-2023,2010.0,317.1k km,3050,Toyota,Electrico,CVT,4X2,PARTICULAR,urbano,si,true,0,false,false,no,false,0
Natalia Reyes,239576177,,natalia_reyes969@correo.com,"Avenida 52 #74-36, Cúcuta",VSW117,579,CDA-14375,18-10-2020,2022.0,27k,3000cc,Mazda,GASOLINA,manul,4x2,Escolar,Urbano,no,no,no,false,0,0,no,0
Claudia Vargas,458541857,3014792908,claudiavargas443@live.com,"Circular 29 #43-59, Neiva",FOA464,3182,CDA-14135,2023-02-11,2014.0,289.2k km,4000cc,Ford,Electrico,Automática,4x2,público,URBANO,no,no,,,si,false,0,1
Laura García,596281268,3181652932,lauragarcía199@live.com,"Circular 33 #39-70, Cúcuta",HEU 399,257,CDA-28074,17-09-2021,2020.0,138.0k km,2500,Suzuki,eléctrico,CVT,4x4,escolar,Suburbano,0,0,,no,no,false,no,0
Diana Herrera,904473566,3044803691,diana.herrera650@correo.com,"Avenida 68 #6-41, Cúcuta",ISD-699,71,CDA-21807,2021/04/01,2012.0,332k,2500,Dodge,Híbrido,mecánica,RWD,taxi,Suburbano,no,no,0,no,no,0,no,1
Adriana Parra,820530599,3008084846,adriana.parra694@outlook.com,"Carrera 81 #37-13, Villavicencio",UZL200,599,CDA-10574,17-11-2021,1998.0,338k,2200,Toyota,hibrido,automatica,FWD,Particular,suburbano,no,si,no,0,,0,1,1
Laura García,,3238955386,laura-garcía209@correo.com,"Carrera 38 #65-99, Montería",XOJ877,2924,CDA-86142,03-02-2018,1995.0,711039,1800,Mazda,gasolina,autom,4X2,carga,Urbano,yes,false,si,no,0,false,si,1
Roberto Nieto,167256461,3026398206,robertonieto885@yahoo.com,"Circular 11 #91-40, Villavicencio",DES487,2250,CDA-23725,18-12-2018,2010.0,446773,3500cc,Dodge,eléctrico,semiautomatica,awd,público,suburbano,no,no,,0,si,0,no,1
Gustavo Barrera,520425555,3114415130,gustavo_barrera898@hotmail.com,"Carrera 36 #6-5, Pasto",EDH-609,3128,CDA-48134,14-01-2020,2020.0,83k,3500cc,Volkswagen,GNV,automatica,fwd,particular,suburbano,false,no,false,yes,0,no,si,0
Patricia Díaz,1024000150,3183430482,patricia_díaz931@outlook.com,"Calle 41 #76-21, Ibagué",IZO070,1819,CDA-76195,02-11-2024,2004.0,468.330,3000,Ford,GNV,autom,4x2,escolar,Urbano,true,0,1,no,0,no,0,1
Fabio Arévalo,211657658,3167011230,fabio-arévalo449@live.com,"Circular 106 #43-23, Cartagena",LOL736,2650,CDA-50499,15-01-2024,2015.0,285903,4000,Kia,hibrido,CVT,FWD,escolar,Rural,no,true,true,1,,yes,no,1
Patricia Mejía,401985536,3052025328,patricia-mejía653@hotmail.com,"Transversal 48 #85-29, Bucaramanga",GVT 289,1422,CDA-55243,14-12-2020,2020.0,132175,3000 cc,Fiat,DIESEL,,fwd,,rural,no,no,no,0,1,si,no,0
Luis Rodríguez,447757316,3207836867,luis.rodríguez518@yahoo.com,"Circular 70 #97-99, Manizales",LGO919,280,CDA-30558,13/07/2020,2020.0,53k,1300,Kia,Electrico,MANUAL,awd,PARTICULAR,rural,false,no,0,,no,no,no,0
Claudia Vargas,183662221,3138709401,claudia.vargas991@yahoo.com,"Transversal 68 #83-85, Ibagué",TQA 871,946,CDA-41219,2019/05/26,2005.0,193.507,2250,Renault,Gas,Automática,4x4,particular,Mixto,yes,no,false,no,1,,no,1
Lina Santana,474015078,3115276971,lina.santana14@hotmail.com,"Transversal 22 #83-63, Cúcuta",IWH-763,666,CDA-30925,2022/10/13,2023.0,,2200,Suzuki,GNV,autom,fwd,Publico,Rural,0,false,false,no,no,0,false,0
Xiomara Pacheco,329845193,3055884974,xiomara-pacheco812@outlook.com,"Diagonal 72 #87-2, Cali",QKS833,1172,CDA-73776,26-07-2021,2008.0,433k,2000,Renault,Gasolina,CVT,AWD,PUBLICO,Suburbano,,no,no,1,no,yes,false,1
Marcela Fuentes,76772268,3043707516,marcela.fuentes981@outlook.com,,QWJ-233,1667,CDA-60383,2024/07/05,1996.0,490.1k km,2300,Mitsubishi,Electrico,tiptronic,4x4,Publico,RURAL,true,yes,false,no,no,false,1,1
Ricardo Peña,593993870,3049151402,ricardo-peña8@outlook.com,"Carrera 65 #93-15, Medellín",UEF515,347,CDA-71740,30/09/2019,2015.0,127254,1000,Peugeot,eléctrico,tiptronic,4X2,PUBLICO,Mixto,0,false,no,no,no,1,,0
Darío Acosta,102014365,3119270156,darío.acosta51@correo.com,"Transversal 37 #15-87, Medellín",JEA789,2907,CDA-79193,,2008.0,350056,3500,Hyundai,Gasolina,cvt,awd,público,mixto,true,,no,true,1,no,false,1
Fabio Arévalo,563348840,3132933490,fabio.arévalo862@outlook.com,,CCY-022,1796,CDA-93813,2019-09-28,1995.0,561k,3500,Nissan,Híbrido,autom,fwd,Publico,rural,1,no,true,no,si,1,no,1
Patricia Díaz,815859781,3049176697,patricia.díaz467@live.com,"Carrera 13 #17-27, Barranquilla",IRH418,812,CDA-93535,2021-11-28,2021.0,65106,2500,Toyota,Diesel,Automática,RWD,TAXI,urbano,no,0,0,no,1,0,false,1
Xiomara Pacheco,382323613,3171481657,xiomara.pacheco80@outlook.com,"Calle 82 #63-69, Medellín",ZVT628,2964,CDA-33189,01-12-2021,1997.0,461047,2200,Mitsubishi,Electrico,CVT,4X2,escolar,rural,1,true,yes,yes,si,false,false,1
Luis Rodríguez,792187072,3223480699,luisrodríguez362@gmail.com,"Avenida 114 #16-79, Bogotá",ATJ743,2094,CDA-53368,15/01/2019,2005.0,312716,1600,Suzuki,Gasolina,semiautomatica,4X2,público,urbano,no,no,true,no,si,true,no,1
Claudia Vargas,78189612,3012017263,claudia.vargas479@live.com,"Transversal 20 #96-23, Bogotá",KCM936,2814,CDA-73739,2024-04-08,1996.0,379523,2200,Hyundai,Gasolina,Mecanica,4x2,particular,Urbano,,no,false,1,1,,1,0
Fabio Arévalo,134637135,3158281401,fabio-arévalo702@yahoo.com,"Carrera 11 #92-23, Cartagena",CAN 258,2011,CDA-28030,15-08-2024,2015.0,116.5k km,2000 cc,Chevrolet,Diesel,Automatio,fwd,Escolar,mixto,no,1,no,no,0,no,0,1
José Hernández,1017113687,3506374378,josé-hernández461@gmail.com,"Carrera 53 #4-98, Cali",VRU805,480,CDA-25406,19/10/2024,2013.0,,2200,Nissan,diesel,tiptronic,4X4,Publico,Mixto,false,0,false,no,no,0,no,1
Ana Gómez,407344797,3158468683,anagómez146@live.com,"Diagonal 88 #69-77, Medellín",UJN 953,1910,CDA-57885,2022/10/26,2009.0,391.081,1300,Fiat,hibrido,manual,rwd,PUBLICO,suburbano,false,1,0,no,false,false,1,1
Alejandro Zapata,733045930,3172054702,alejandro_zapata5@hotmail.com,"Avenida 116 #66-40, Manizales",GGU090,1823,CDA-56607,2019-03-21,2004.0,466.3k km,2500,Nissan,diesel,semiautomatica,fwd,taxi,Suburbano,,1,no,1,false,no,,1
Gustavo Barrera,267307519,3175546442,gustavo.barrera208@yahoo.com,"Transversal 65 #98-67, Neiva",MOL792,290,CDA-72245,2020-10-25,1996.0,,,Peugeot,eléctrico,Tiptronic,4x4,publico,mixto,0,0,true,false,false,no,true,1
Ana Gómez,89848482,3229381416,ana_gómez218@correo.com,"Carrera 108 #74-58, Villavicencio",FTM742,843,CDA-43133,15/11/2020,2014.0,165k,1600 cc,Ford,GNV,Automatio,4x2,TAXI,Suburbano,0,,1,yes,0,no,0,1
Natalia Reyes,1063710790,3117665237,nataliareyes452@yahoo.com,"Calle 11 #86-11, Villavicencio",GEW-900,1287,CDA-42526,31-07-2023,2019.0,56142,1200,renoult,Híbrido,Automatio,,Publico,URBANO,yes,0,false,no,false,no,no,0
Xiomara Pacheco,1038769191,3054528807,xiomarapacheco297@yahoo.com,"Transversal 118 #18-42, Barranquilla",VYX465,326,CDA-72049,22/12/2024,2001.0,365k,1200,Mazda,gas,AUTOMATICA,4x2,PUBLICO,suburbano,1,si,no,0,1,si,no,1
José Hernández,1046663302,3053725608,josé-hernández966@hotmail.com,"Calle 23 #7-72, Ibagué",WLM 803,1908,CDA-54660,2022-06-25,2002.0,218.450,1600 cc,Kia,gasolina,mecánica,awd,particular,rural,false,si,si,si,no,no,si,1
Catalina Ortiz,456402174,3045158551,catalina_ortiz597@correo.com,"Avenida 37 #75-32, Cartagena",GBY-978,2116,CDA-73775,05-05-2021,2016.0,169207,1200,Dodge,Diesel,Automática,awd,Publico,rural,0,false,no,yes,1,false,no,1
Roberto Nieto,241132188,3234767003,roberto_nieto464@correo.com,"Carrera 68 #22-52, Montería",PCU337,606,CDA-47232,2024/02/04,2000.0,937823,1300,Ford,Gas Natural,automatica,4X4,público,Rural,no,yes,,no,no,si,no,1
Andrés Torres,37457389,3202764491,andrés.torres123@hotmail.com,"Circular 76 #14-95, Neiva",EJF284,94,CDA-75419,11-07-2024,2021.0,67k,1500,Toyota,gnv,AUTOMATICA,RWD,PUBLICO,Mixto,false,si,false,true,no,no,no,1
Diana Herrera,540038445,3053310690,diana-herrera132@live.com,"Avenida 100 #68-62, Neiva",ENR 010,679,CDA-60326,12/03/2019,2011.0,416228,1500cc,Toyota,hibrido,manul,FWD,Escolar,urbano,no,yes,0,false,false,0,false,1
Diana Herrera,697211588,3193559704,diana-herrera633@yahoo.com,"Diagonal 2 #30-73, Ibagué",VRP 061,1426,CDA-72223,2021-04-29,1999.0,256308 km,4000,Ford,Electrico,MANUAL,fwd,Escolar,mixto,,true,true,0,0,no,1,1
Viviana Suárez,1055035878,3141761976,viviana.suárez8@hotmail.com,"Carrera 99 #18-98, Bucaramanga",DML152,18,CDA-56421,2018/06/23,,519780,2200,Dodge,hibrido,autom,fwd,PUBLICO,Urbano,1,no,true,1,1,yes,false,1
Felipe Ramos,474221245,3014898490,felipe-ramos343@gmail.com,"Transversal 22 #92-32, Neiva",VUZ905,2894,CDA-47876,01/11/2024,2002.0,585540,1500,Peugeot,Diesel,semiautomatica,AWD,Carga,Urbano,true,no,yes,true,yes,false,,1
Ana Gómez,447617334,3134497833,ana_gómez938@gmail.com,"Carrera 9 #92-53, Pasto",XFG253,863,CDA-82303,2020/03/10,2017.0,256.2k km,3000,Ford,Gas Natural,manul,rwd,publico,urbano,,0,false,no,no,false,no,1
Patricia Díaz,286600227,3052687744,patricia-díaz808@outlook.com,"Calle 105 #27-36, Cali",GWQ409,3178,CDA-62234,2022/12/31,2001.0,293.104,1600,Ford,hibrido,mecánica,AWD,Particular,urbano,no,false,si,si,1,false,,0
María López,324268895,3056492766,maría-lópez500@hotmail.com,"Avenida 92 #53-70, Armenia",SMB641,512,CDA-93628,2022/10/30,2011.0,192061,1400,Nissan,Electrico,cvt,FWD,PARTICULAR,rural,no,0,false,no,0,no,no,0
Gustavo Barrera,854155248,3239257034,gustavo_barrera27@hotmail.com,"Transversal 89 #20-97, Barranquilla",SSN-178,2125,CDA-32158,2023/10/20,1997.0,679549,,Suzuki,diesel,Mecanica,4x4,taxi,URBANO,1,no,0,false,,1,no,1
Roberto Nieto,698958638,,roberto.nieto583@live.com,"Diagonal 70 #96-34, Bucaramanga",ISZ-777,582,CDA-48590,18-05-2018,2004.0,262624,4000,Mitsubishi,Gasolina,autom,AWD,,rural,true,,si,false,yes,1,0,1
Roberto Nieto,390133237,3171131890,robertonieto891@outlook.com,"Transversal 33 #11-22, Bogotá",NFW 466,2674,CDA-11707,2021-01-04,2011.0,272462 km,1200,Toyota,gas,manul,FWD,carga,Mixto,no,no,no,1,,1,0,1
Felipe Ramos,878951532,3056707004,feliperamos137@outlook.com,"Circular 105 #38-79, Ibagué",IFV219,184,CDA-38701,2020/07/14,2021.0,85855,,Kia,,tiptronic,rwd,público,urbano,no,no,false,false,,false,no,0
